TimeWindow  TotalIterations  Iterations  Convergence  
1  5  5  1  
2  9  4  1  
3  12  3  1  
4  15  3  1  
5  17  2  1  
6  20  3  1  
7  22  2  1  
8  24  2  1  
9  26  2  1  
10  28  2  1  
11  30  2  1  
12  33  3  1  
13  36  3  1  
14  38  2  1  
15  40  2  1  
16  42  2  1  
17  44  2  1  
18  46  2  1  
19  48  2  1  
20  50  2  1  
21  52  2  1  
22  54  2  1  
23  56  2  1  
24  58  2  1  
25  60  2  1  
26  62  2  1  
27  64  2  1  
28  66  2  1  
29  68  2  1  
30  70  2  1  
31  72  2  1  
32  74  2  1  
33  76  2  1  
34  78  2  1  
35  80  2  1  
36  82  2  1  
37  84  2  1  
38  86  2  1  
39  88  2  1  
40  90  2  1  
41  93  3  1  
42  96  3  1  
43  98  2  1  
44  100  2  1  
45  102  2  1  
46  104  2  1  
47  106  2  1  
48  108  2  1  
49  110  2  1  
50  112  2  1  
51  114  2  1  
52  116  2  1  
53  118  2  1  
54  120  2  1  
55  122  2  1  
56  124  2  1  
57  126  2  1  
58  128  2  1  
59  130  2  1  
60  132  2  1  
61  134  2  1  
62  136  2  1  
63  138  2  1  
64  140  2  1  
65  142  2  1  
66  144  2  1  
67  146  2  1  
68  148  2  1  
69  150  2  1  
70  152  2  1  
71  154  2  1  
72  156  2  1  
73  158  2  1  
74  160  2  1  
75  162  2  1  
76  164  2  1  
77  166  2  1  
78  168  2  1  
79  170  2  1  
80  172  2  1  
81  174  2  1  
82  176  2  1  
83  178  2  1  
84  180  2  1  
85  182  2  1  
86  184  2  1  
87  186  2  1  
88  188  2  1  
89  190  2  1  
90  192  2  1  
91  194  2  1  
92  196  2  1  
93  198  2  1  
94  200  2  1  
95  202  2  1  
96  204  2  1  
97  206  2  1  
98  208  2  1  
99  210  2  1  
100  212  2  1  
101  214  2  1  
102  216  2  1  
103  218  2  1  
104  220  2  1  
105  222  2  1  
106  224  2  1  
107  226  2  1  
108  228  2  1  
109  230  2  1  
110  232  2  1  
111  234  2  1  
112  236  2  1  
113  238  2  1  
114  240  2  1  
115  242  2  1  
116  244  2  1  
117  246  2  1  
118  248  2  1  
119  250  2  1  
120  252  2  1  
121  254  2  1  
122  256  2  1  
123  258  2  1  
124  260  2  1  
125  262  2  1  
126  264  2  1  
127  266  2  1  
128  268  2  1  
129  270  2  1  
130  272  2  1  
131  274  2  1  
132  276  2  1  
133  278  2  1  
134  280  2  1  
135  282  2  1  
136  284  2  1  
137  286  2  1  
138  288  2  1  
139  290  2  1  
140  292  2  1  
141  294  2  1  
142  296  2  1  
143  298  2  1  
144  300  2  1  
145  302  2  1  
146  304  2  1  
147  306  2  1  
148  308  2  1  
149  310  2  1  
150  312  2  1  
151  314  2  1  
152  316  2  1  
153  318  2  1  
154  320  2  1  
155  322  2  1  
156  324  2  1  
157  326  2  1  
158  328  2  1  
159  330  2  1  
160  332  2  1  
161  334  2  1  
162  336  2  1  
163  338  2  1  
164  340  2  1  
165  342  2  1  
166  344  2  1  
167  346  2  1  
168  348  2  1  
169  350  2  1  
170  352  2  1  
171  354  2  1  
172  356  2  1  
173  358  2  1  
174  360  2  1  
175  362  2  1  
176  364  2  1  
177  366  2  1  
178  368  2  1  
179  370  2  1  
180  372  2  1  
181  374  2  1  
182  376  2  1  
183  378  2  1  
184  380  2  1  
185  382  2  1  
186  384  2  1  
187  386  2  1  
188  388  2  1  
189  390  2  1  
190  392  2  1  
191  394  2  1  
192  396  2  1  
193  398  2  1  
194  400  2  1  
195  402  2  1  
196  404  2  1  
197  406  2  1  
198  408  2  1  
199  410  2  1  
200  412  2  1  
201  414  2  1  
202  416  2  1  
203  418  2  1  
204  420  2  1  
205  422  2  1  
206  424  2  1  
207  426  2  1  
208  428  2  1  
209  430  2  1  
210  432  2  1  
211  434  2  1  
212  436  2  1  
213  438  2  1  
214  440  2  1  
215  442  2  1  
216  444  2  1  
217  446  2  1  
218  448  2  1  
219  450  2  1  
220  452  2  1  
221  454  2  1  
222  456  2  1  
223  458  2  1  
224  460  2  1  
225  462  2  1  
226  464  2  1  
227  466  2  1  
228  468  2  1  
229  470  2  1  
230  472  2  1  
231  474  2  1  
232  476  2  1  
233  478  2  1  
234  480  2  1  
235  482  2  1  
236  484  2  1  
237  486  2  1  
238  488  2  1  
239  490  2  1  
240  492  2  1  
241  494  2  1  
242  496  2  1  
243  498  2  1  
244  500  2  1  
245  502  2  1  
246  504  2  1  
247  506  2  1  
248  508  2  1  
249  510  2  1  
250  512  2  1  
251  514  2  1  
252  516  2  1  
253  518  2  1  
254  520  2  1  
255  522  2  1  
256  524  2  1  
257  526  2  1  
258  528  2  1  
259  530  2  1  
260  532  2  1  
261  534  2  1  
262  536  2  1  
263  538  2  1  
264  540  2  1  
265  542  2  1  
266  544  2  1  
267  546  2  1  
268  548  2  1  
269  550  2  1  
270  552  2  1  
271  554  2  1  
272  556  2  1  
273  558  2  1  
274  560  2  1  
275  562  2  1  
276  564  2  1  
277  566  2  1  
278  568  2  1  
279  570  2  1  
280  572  2  1  
281  574  2  1  
282  576  2  1  
283  578  2  1  
284  580  2  1  
285  582  2  1  
286  584  2  1  
287  586  2  1  
288  588  2  1  
289  590  2  1  
290  592  2  1  
291  594  2  1  
292  596  2  1  
293  598  2  1  
294  600  2  1  
295  602  2  1  
296  604  2  1  
297  606  2  1  
298  608  2  1  
299  610  2  1  
300  612  2  1  
301  614  2  1  
302  616  2  1  
303  618  2  1  
304  620  2  1  
305  622  2  1  
306  624  2  1  
307  626  2  1  
308  628  2  1  
309  630  2  1  
310  632  2  1  
311  634  2  1  
312  636  2  1  
313  638  2  1  
314  640  2  1  
315  642  2  1  
316  644  2  1  
317  646  2  1  
318  648  2  1  
319  650  2  1  
320  652  2  1  
321  654  2  1  
322  656  2  1  
323  658  2  1  
324  660  2  1  
325  662  2  1  
326  664  2  1  
327  666  2  1  
328  668  2  1  
329  670  2  1  
330  672  2  1  
331  674  2  1  
332  676  2  1  
333  678  2  1  
334  680  2  1  
335  682  2  1  
336  684  2  1  
337  686  2  1  
338  688  2  1  
339  690  2  1  
340  692  2  1  
341  694  2  1  
342  696  2  1  
343  698  2  1  
344  700  2  1  
345  702  2  1  
346  704  2  1  
347  706  2  1  
348  708  2  1  
349  710  2  1  
350  712  2  1  
351  714  2  1  
352  716  2  1  
353  718  2  1  
354  720  2  1  
355  722  2  1  
356  724  2  1  
357  726  2  1  
358  728  2  1  
359  730  2  1  
360  732  2  1  
361  734  2  1  
362  736  2  1  
363  738  2  1  
364  740  2  1  
365  742  2  1  
366  744  2  1  
367  746  2  1  
368  748  2  1  
369  750  2  1  
370  752  2  1  
371  754  2  1  
372  756  2  1  
373  758  2  1  
374  760  2  1  
375  762  2  1  
376  764  2  1  
377  766  2  1  
378  768  2  1  
379  770  2  1  
380  772  2  1  
381  774  2  1  
382  776  2  1  
383  778  2  1  
384  780  2  1  
385  782  2  1  
386  784  2  1  
387  786  2  1  
388  788  2  1  
389  790  2  1  
390  792  2  1  
391  794  2  1  
392  796  2  1  
393  798  2  1  
394  800  2  1  
395  802  2  1  
396  804  2  1  
397  806  2  1  
398  808  2  1  
399  810  2  1  
400  812  2  1  
401  814  2  1  
402  816  2  1  
403  818  2  1  
404  820  2  1  
405  822  2  1  
406  824  2  1  
407  826  2  1  
408  828  2  1  
409  830  2  1  
410  832  2  1  
411  834  2  1  
412  836  2  1  
413  838  2  1  
414  840  2  1  
415  842  2  1  
416  844  2  1  
417  846  2  1  
418  848  2  1  
419  850  2  1  
420  852  2  1  
421  854  2  1  
422  856  2  1  
423  858  2  1  
424  860  2  1  
